Date,Open,High,Low,Close,Volume,Adj Close
2018-01-04,1725,1746,1705,1743,91700,1743
2018-01-05,1755,1755,1716,1727,87600,1727
2018-01-09,1815,1815,1751,1781,240200,1781
2018-01-10,1766,1783,1750,1775,169700,1775
2018-01-11,1780,1808,1764,1805,161600,1805
2018-01-12,1815,1830,1802,1812,198500,1812
2018-01-15,1820,1872,1810,1860,196000,1860
2018-01-16,1865,1888,1846,1872,240600,1872
2018-01-17,1870,1889,1846,1855,129200,1855
2018-01-18,1860,1863,1800,1800,132300,1800
2018-01-19,1792,1819,1767,1778,109200,1778
2018-01-22,1795,1812,1776,1804,73800,1804
2018-01-23,1825,1855,1812,1826,102800,1826
2018-01-24,1829,1840,1819,1831,83500,1831
2018-01-25,1827,1924,1827,1924,450700,1924
2018-01-26,1929,1959,1870,1904,224900,1904
2018-01-29,1915,1933,1887,1919,198400,1919
2018-01-30,1905,1914,1850,1867,205300,1867
2018-01-31,1831,1925,1830,1891,152200,1891
2018-02-01,1900,1917,1875,1908,152200,1908
2018-02-02,1905,1910,1871,1894,144500,1894
2018-02-05,1816,1858,1816,1850,143200,1850
2018-02-06,1717,1738,1649,1715,232900,1715
2018-02-07,1775,1814,1740,1740,126500,1740
2018-02-08,1731,1785,1722,1773,141000,1773
2018-02-09,1656,1742,1656,1728,131000,1728
2018-02-13,1621,1621,1460,1461,610200,1461
2018-02-14,1501,1520,1426,1452,251200,1452
2018-02-15,1444,1471,1402,1469,237900,1469
2018-02-16,1478,1507,1458,1490,147800,1490
2018-02-19,1510,1563,1507,1563,123300,1563
2018-02-20,1570,1581,1545,1562,120300,1562
2018-02-21,1560,1588,1550,1567,81100,1567
2018-02-22,1568,1603,1555,1597,162700,1597
2018-02-23,1590,1610,1580,1607,108200,1607
2018-02-26,1620,1620,1574,1595,116400,1595
2018-02-27,1589,1601,1562,1584,145700,1584
2018-02-28,1583,1635,1579,1618,159500,1618
2018-03-01,1603,1608,1566,1568,98200,1568
2018-03-02,1532,1546,1521,1535,94700,1535
2018-03-05,1540,1554,1497,1504,101100,1503
2018-03-06,1549,1573,1537,1544,84100,1544
2018-03-07,1539,1595,1518,1574,143600,1574
2018-03-08,1570,1600,1560,1565,61000,1565
2018-03-09,1603,1640,1590,1609,152600,1609
2018-03-12,1648,1649,1596,1610,85200,1610
2018-03-13,1611,1669,1607,1632,152600,1632
2018-03-14,1633,1640,1596,1600,69100,1600
2018-03-15,1655,1720,1630,1693,266700,1693
2018-03-16,1750,1777,1662,1684,310500,1684
2018-03-19,1684,1690,1609,1669,166400,1669
2018-03-20,1640,1662,1607,1658,163700,1658
2018-03-22,1665,1715,1665,1699,122700,1699
2018-03-23,1621,1648,1602,1624,177200,1624
2018-03-26,1600,1629,1560,1629,127000,1629
2018-03-27,1678,1710,1635,1661,206000,1661
2018-03-28,1632,1706,1632,1703,135800,1703
2018-03-29,1704,1734,1682,1716,135300,1716
2018-03-30,1739,1746,1713,1740,143000,1740
2018-04-02,1755,1796,1745,1783,273100,1783
2018-04-03,1758,1830,1741,1799,339100,1799
2018-04-04,1819,1820,1760,1767,203000,1767
2018-04-05,1799,1799,1746,1759,131000,1759
2018-04-06,1759,1763,1670,1730,157600,1730
2018-04-09,1745,1844,1738,1819,384200,1819
2018-04-10,1820,1841,1783,1805,195000,1805
2018-04-11,1820,1830,1731,1757,304700,1757
2018-04-12,1780,1820,1760,1813,194600,1813
2018-04-13,1803,1834,1776,1826,176100,1826
2018-04-16,1843,1864,1782,1800,374700,1800
2018-04-17,1813,1830,1750,1820,204100,1820
2018-04-18,1839,1895,1822,1874,466100,1874
2018-04-19,1874,1876,1820,1860,241200,1860
2018-04-20,1899,1934,1837,1841,847300,1841
2018-04-23,1846,1847,1760,1831,272600,1831
2018-04-24,1832,1947,1811,1833,605900,1833
2018-04-25,1803,1814,1742,1743,266800,1743
2018-04-26,1771,1771,1713,1744,158200,1744
2018-04-27,1738,1770,1738,1740,66500,1740
2018-05-01,1744,1805,1743,1786,126300,1786
2018-05-02,1818,1838,1799,1826,140600,1826
2018-05-07,1815,1847,1794,1838,117500,1838
2018-05-08,1838,1859,1806,1835,115200,1835
2018-05-09,1835,1877,1825,1852,138800,1852
2018-05-10,1850,1863,1813,1820,83600,1820
2018-05-11,1830,1834,1803,1807,131200,1807
2018-05-14,1652,1673,1623,1664,472000,1664
2018-05-15,1680,1701,1679,1687,159300,1687
2018-05-16,1705,1707,1663,1666,141000,1666
2018-05-17,1660,1693,1650,1673,91500,1673
2018-05-18,1676,1706,1664,1697,118800,1697
2018-05-21,1700,1743,1699,1729,104700,1729
2018-05-22,1723,1735,1694,1706,85400,1706
2018-05-23,1713,1728,1693,1709,61300,1709
2018-05-24,1710,1716,1687,1691,52000,1691
2018-05-25,1675,1693,1661,1672,75000,1672
2018-05-28,1672,1682,1653,1675,52700,1675
2018-05-29,1670,1698,1634,1648,102600,1648
2018-05-30,1620,1642,1612,1619,97600,1619
2018-05-31,1621,1643,1613,1620,94800,1620
2018-06-01,1616,1632,1612,1627,60000,1627
2018-06-04,1627,1639,1615,1634,70900,1634
2018-06-05,1655,1656,1612,1633,64600,1633
2018-06-06,1635,1660,1609,1612,189100,1612
2018-06-07,1620,1643,1612,1613,62100,1613
2018-06-08,1607,1646,1605,1628,73700,1628
2018-06-11,1650,1684,1628,1668,104000,1668
2018-06-12,1685,1688,1644,1645,82100,1645
2018-06-13,1650,1734,1641,1712,205700,1712
2018-06-14,1735,1755,1703,1714,177100,1714
2018-06-15,1710,1736,1696,1699,78500,1699
2018-06-18,1703,1710,1671,1701,71000,1701
2018-06-19,1701,1701,1636,1638,125900,1638
2018-06-20,1635,1665,1610,1660,94500,1660
2018-06-21,1662,1700,1660,1671,64500,1671
2018-06-22,1678,1694,1650,1680,83200,1680
2018-06-25,1688,1688,1611,1612,95200,1612
2018-06-26,1580,1613,1569,1608,129400,1608
2018-06-27,1608,1608,1585,1590,88100,1590
2018-06-28,1588,1598,1529,1542,142900,1542
2018-06-29,1574,1605,1565,1571,79500,1571
2018-07-02,1571,1581,1540,1542,108300,1542
2018-07-03,1550,1574,1488,1507,133600,1507
2018-07-04,1486,1523,1472,1512,93300,1512
2018-07-05,1490,1500,1441,1449,104100,1449
2018-07-06,1471,1487,1446,1483,89500,1483
2018-07-09,1495,1537,1484,1537,68600,1537
2018-07-10,1540,1540,1514,1515,97600,1515
2018-07-11,1502,1505,1470,1491,76800,1491
2018-07-12,1490,1530,1490,1514,85800,1514
2018-07-13,1511,1541,1509,1523,74600,1523
2018-07-17,1534,1538,1506,1527,75700,1527
2018-07-18,1540,1552,1518,1546,61000,1546
2018-07-19,1558,1585,1543,1576,91900,1576
2018-07-20,1576,1587,1538,1549,74100,1549
2018-07-23,1527,1535,1502,1517,87700,1517
2018-07-24,1522,1526,1489,1506,117300,1506
2018-07-25,1507,1508,1486,1493,92600,1493
2018-07-26,1488,1514,1476,1495,120900,1495
2018-07-27,1497,1500,1480,1489,85400,1489
2018-07-30,1488,1488,1452,1458,112500,1458
2018-07-31,1452,1465,1427,1464,126900,1464
2018-08-01,1472,1480,1447,1466,89200,1466
2018-08-02,1466,1488,1464,1466,73400,1466
2018-08-03,1466,1470,1437,1444,84900,1444
