,Open,High,Low,Close,Volume
2019-08-09,930.0,1010.0,900.0,951.0,4185300.0
2019-08-13,963.0,1055.0,961.0,985.0,3026400.0
2019-08-14,1013.0,1025.0,988.0,1018.0,1144900.0
2019-08-15,996.0,1018.0,980.0,980.0,749500.0
2019-08-16,980.0,985.0,941.0,949.0,489000.0
2019-08-19,942.0,953.0,939.0,949.0,219200.0
2019-08-20,960.0,980.0,952.0,952.0,177600.0
2019-08-21,951.0,1005.0,951.0,996.0,404300.0
2019-08-22,995.0,1005.0,979.0,999.0,318900.0
2019-08-23,1006.0,1015.0,985.0,996.0,285600.0
2019-08-26,971.0,1030.0,962.0,1015.0,386800.0
2019-08-27,1043.0,1076.0,1007.0,1029.0,922600.0
2019-08-28,1030.0,1086.0,1023.0,1084.0,995300.0
2019-08-29,1071.0,1088.0,1019.0,1025.0,1016600.0
2019-08-30,1049.0,1053.0,975.0,1003.0,656800.0
2019-09-02,1000.0,1017.0,996.0,1005.0,278200.0
2019-09-03,1010.0,1020.0,1004.0,1016.0,168100.0
2019-09-04,1020.0,1020.0,1002.0,1004.0,181100.0
2019-09-05,1000.0,1009.0,990.0,991.0,312800.0
2019-09-06,986.0,995.0,965.0,967.0,275000.0
2019-09-09,960.0,985.0,952.0,969.0,123600.0
2019-09-10,958.0,966.0,942.0,950.0,191800.0
2019-09-11,940.0,955.0,938.0,938.0,126300.0
2019-09-12,939.0,959.0,939.0,950.0,136700.0
2019-09-13,935.0,962.0,892.0,908.0,420700.0
2019-09-17,893.0,898.0,835.0,837.0,704400.0
2019-09-18,836.0,843.0,797.0,801.0,475800.0
2019-09-19,807.0,880.0,801.0,864.0,341100.0
2019-09-20,854.0,864.0,841.0,847.0,131200.0
2019-09-24,840.0,845.0,834.0,845.0,105800.0
2019-09-25,840.0,857.0,829.0,855.0,209400.0
2019-09-26,870.0,920.0,855.0,916.0,443600.0
2019-09-27,925.0,955.0,901.0,947.0,494500.0
2019-09-30,973.0,979.0,925.0,935.0,369100.0
2019-10-01,949.0,958.0,892.0,900.0,197900.0
2019-10-02,889.0,891.0,857.0,864.0,265500.0
2019-10-03,850.0,892.0,840.0,876.0,123800.0
2019-10-04,914.0,930.0,888.0,915.0,232900.0
2019-10-07,925.0,926.0,910.0,919.0,68600.0
2019-10-08,972.0,977.0,942.0,952.0,400800.0
2019-10-09,950.0,1025.0,948.0,1000.0,605100.0
2019-10-10,983.0,993.0,950.0,951.0,266500.0
2019-10-11,956.0,956.0,918.0,925.0,230000.0
2019-10-15,918.0,942.0,913.0,920.0,104600.0
2019-10-16,924.0,928.0,911.0,911.0,96500.0
2019-10-17,906.0,934.0,902.0,931.0,75700.0
2019-10-18,939.0,973.0,936.0,969.0,156500.0
2019-10-21,968.0,979.0,940.0,943.0,142200.0
2019-10-23,968.0,968.0,932.0,940.0,86800.0
2019-10-24,950.0,952.0,930.0,948.0,90500.0
2019-10-25,960.0,960.0,938.0,942.0,73000.0
2019-10-28,949.0,949.0,922.0,932.0,84700.0
2019-10-29,929.0,933.0,919.0,926.0,101100.0
2019-10-30,920.0,928.0,918.0,927.0,61800.0
2019-10-31,930.0,968.0,930.0,965.0,196800.0
2019-11-01,960.0,988.0,951.0,966.0,166700.0
2019-11-05,980.0,980.0,943.0,945.0,126100.0
2019-11-06,975.0,1000.0,951.0,955.0,312200.0
2019-11-07,949.0,963.0,936.0,940.0,113800.0
2019-11-08,942.0,952.0,940.0,948.0,81700.0
2019-11-11,945.0,967.0,942.0,959.0,72200.0
2019-11-12,959.0,961.0,948.0,952.0,56700.0
2019-11-13,948.0,948.0,910.0,924.0,156500.0
2019-11-14,911.0,928.0,906.0,908.0,75200.0
2019-11-15,908.0,924.0,903.0,910.0,63100.0
2019-11-18,916.0,925.0,909.0,925.0,64700.0
2019-11-19,920.0,937.0,914.0,936.0,62600.0
2019-11-20,926.0,938.0,923.0,930.0,40800.0
2019-11-21,925.0,932.0,915.0,925.0,43500.0
2019-11-22,920.0,929.0,920.0,929.0,29700.0
2019-11-25,930.0,944.0,924.0,936.0,88400.0
2019-11-26,971.0,998.0,947.0,964.0,683900.0
2019-11-27,979.0,979.0,945.0,958.0,182700.0
2019-11-28,958.0,962.0,941.0,954.0,88300.0
2019-11-29,945.0,951.0,938.0,945.0,106000.0
2019-12-02,950.0,953.0,934.0,935.0,121000.0
2019-12-03,930.0,933.0,903.0,927.0,119600.0
2019-12-04,920.0,921.0,908.0,918.0,112800.0
2019-12-05,918.0,920.0,910.0,919.0,80500.0
2019-12-06,915.0,919.0,910.0,917.0,46300.0
2019-12-09,917.0,922.0,896.0,913.0,170200.0
2019-12-10,910.0,924.0,906.0,923.0,62000.0
2019-12-11,917.0,919.0,909.0,910.0,82800.0
2019-12-12,906.0,910.0,887.0,887.0,167500.0
2019-12-13,880.0,895.0,873.0,879.0,186700.0
2019-12-16,878.0,883.0,851.0,859.0,152500.0
2019-12-17,853.0,859.0,850.0,856.0,111700.0
2019-12-18,861.0,861.0,847.0,854.0,129200.0
2019-12-19,851.0,858.0,833.0,847.0,181900.0
2019-12-20,842.0,876.0,841.0,871.0,140900.0
2019-12-23,901.0,909.0,880.0,893.0,192800.0
2019-12-24,900.0,903.0,891.0,900.0,103800.0
2019-12-25,891.0,917.0,890.0,899.0,177700.0
2019-12-26,895.0,917.0,895.0,914.0,125500.0
2019-12-27,910.0,925.0,910.0,925.0,112400.0
2019-12-30,915.0,934.0,915.0,920.0,112100.0
2020-01-06,900.0,906.0,884.0,889.0,89900.0
2020-01-07,888.0,918.0,888.0,916.0,51500.0
2020-01-08,918.0,918.0,887.0,894.0,87000.0
2020-01-09,900.0,912.0,900.0,902.0,86800.0
2020-01-10,905.0,913.0,900.0,913.0,34200.0
2020-01-14,963.0,980.0,945.0,959.0,546600.0
2020-01-15,974.0,978.0,959.0,959.0,254500.0
2020-01-16,949.0,950.0,915.0,915.0,222800.0
2020-01-17,917.0,920.0,901.0,913.0,127800.0
2020-01-20,923.0,935.0,913.0,926.0,83600.0
2020-01-21,926.0,926.0,909.0,909.0,83500.0
2020-01-22,939.0,939.0,913.0,915.0,85300.0
2020-01-23,906.0,917.0,904.0,905.0,92500.0
2020-01-24,907.0,916.0,895.0,896.0,125500.0
2020-01-27,889.0,890.0,860.0,861.0,257800.0
2020-01-28,856.0,895.0,855.0,872.0,119900.0
2020-01-29,870.0,885.0,862.0,875.0,69900.0
2020-01-30,876.0,878.0,840.0,856.0,113400.0
2020-01-31,866.0,880.0,851.0,866.0,102900.0
2020-02-03,843.0,862.0,842.0,857.0,77700.0
2020-02-04,844.0,864.0,840.0,863.0,89300.0
2020-02-05,866.0,869.0,842.0,849.0,106100.0
2020-02-06,842.0,857.0,842.0,850.0,104500.0
2020-02-07,863.0,864.0,843.0,854.0,84900.0
2020-02-10,847.0,849.0,823.0,826.0,203700.0
2020-02-12,813.0,813.0,800.0,802.0,249600.0
2020-02-13,798.0,799.0,765.0,766.0,426300.0
2020-02-14,745.0,745.0,730.0,731.0,666700.0
2020-02-17,721.0,721.0,688.0,690.0,480000.0
2020-02-18,671.0,677.0,646.0,651.0,502800.0
2020-02-19,642.0,680.0,633.0,677.0,501800.0
2020-02-20,667.0,668.0,605.0,620.0,696200.0
2020-02-21,612.0,618.0,600.0,605.0,385900.0
2020-02-25,580.0,591.0,575.0,590.0,377300.0
2020-02-26,590.0,597.0,577.0,580.0,278000.0
2020-02-27,576.0,580.0,550.0,555.0,200300.0
2020-02-28,528.0,550.0,524.0,525.0,283900.0
2020-03-02,515.0,571.0,515.0,553.0,322700.0
2020-03-03,581.0,581.0,534.0,540.0,225800.0
2020-03-04,530.0,550.0,526.0,539.0,109600.0
2020-03-05,540.0,559.0,540.0,557.0,123500.0
2020-03-06,540.0,542.0,502.0,504.0,255300.0
2020-03-09,473.0,482.0,425.0,434.0,296500.0
2020-03-10,418.0,457.0,403.0,452.0,309300.0
2020-03-11,447.0,454.0,410.0,415.0,240200.0
2020-03-12,415.0,420.0,389.0,397.0,305400.0
2020-03-13,333.0,391.0,320.0,360.0,319900.0
2020-03-16,344.0,374.0,334.0,342.0,237300.0
2020-03-17,327.0,357.0,327.0,348.0,203900.0
2020-03-18,354.0,420.0,354.0,372.0,371100.0
2020-03-19,362.0,370.0,292.0,293.0,737100.0
